"","gene","IL-1_1","IL-1_2","IL-1_3","LPS_1","LPS_2","LPS_3","PAM_1","PAM_2","PAM_3","Con_1","Con_2","Con_3"
"7228","29811",86,93,115,83,77,99,117,160,49,55,37,65
"7229","219038",0,0,0,0,0,0,0,0,0,0,0,0
"7230","497071",0,0,0,0,0,0,0,0,0,0,0,1
"7231","268739",1380,1503,1376,1569,1481,2150,961,890,701,949,418,549
"7232","100502764",10,19,12,28,25,24,17,14,12,7,2,5
"7233","69890",152,123,183,192,142,186,88,43,50,94,37,17
"7234","619301",3,8,3,6,4,2,3,7,3,1,0,4
"7235","258420",0,0,0,0,1,1,0,0,0,0,0,0
"7236","15381",8634,9712,9356,10710,9059,10563,7554,8666,7126,5880,4316,7260
"7237","77945",8,7,6,5,6,12,7,10,4,2,2,4
"7238","114741",1427,1528,1489,1395,1021,1207,914,893,942,853,681,796
"7239","67772",652,553,669,676,534,714,429,323,301,378,192,197
"7240","100217445",2,3,1,0,5,1,1,2,1,1,2,1
"7241","100861840",1,3,3,0,2,0,0,0,2,1,1,0
"7242","76338",385,364,357,434,319,356,323,341,288,237,198,223
"7243","268741",1946,1815,1889,2345,1863,2086,1540,1162,923,1051,604,452
"7244","56335",1086,1040,1078,1190,835,877,717,749,683,585,415,567
"7245","50524",184,186,172,128,115,204,108,51,89,128,62,83
"7246","258008",0,0,0,0,0,1,0,0,0,0,0,0
"7247","258424",0,0,0,0,0,0,0,0,0,0,0,0
"7248","258268",0,0,0,0,2,0,0,0,0,0,0,0
"7249","258423",0,3,0,0,0,0,0,0,0,0,0,0
"7250","627171",0,0,0,0,0,0,0,0,0,0,0,0
"7251","57271",0,0,0,0,0,2,0,1,0,0,0,0
"7252","57270",0,0,0,0,3,0,0,1,0,0,0,0
"7253","57269",0,0,0,0,3,1,0,0,0,0,0,0
"7254","100042372",0,0,0,0,1,0,0,0,0,0,0,1
"7255","667441",0,0,0,0,1,0,0,0,0,0,0,0
"7256","633740",0,0,0,0,0,0,0,0,0,0,0,0
"7257","667449",0,0,0,0,0,0,1,0,0,0,0,0
"7258","671652",0,0,0,0,0,0,0,0,0,0,0,0
"7259","436539",0,0,0,0,0,0,0,0,0,0,0,0
"7260","100042410",0,0,0,0,0,0,0,0,0,0,0,0
"7261","627394",0,0,0,0,0,0,0,0,0,0,0,0
"7262","100042419",0,0,0,0,0,0,0,0,0,0,0,0
"7263","277146",0,0,0,0,0,0,0,0,0,0,0,0
"7264","382180",0,0,0,0,0,0,0,0,0,0,0,0
"7265","667476",0,0,0,0,0,0,0,0,0,0,0,0
"7266","671927",0,0,0,0,0,0,0,0,0,0,0,0
"7267","667481",0,0,0,0,0,0,0,0,0,0,0,0
"7268","100101486",0,0,0,0,0,0,0,0,0,0,0,0
"7269","100042444",0,0,0,0,0,0,0,0,0,0,0,0
"7270","640196",0,0,0,0,0,0,0,0,0,0,0,0
"7271","627273",0,0,0,0,0,0,0,0,0,0,0,0
"7272","100043177",0,0,0,0,0,0,0,0,0,0,0,0
"7273","640931",0,0,0,0,0,0,0,0,0,0,0,0
"7274","630415",0,0,0,0,0,0,0,0,0,0,0,0
"7275","436468",0,0,0,0,0,0,0,0,0,0,0,0
"7276","100042470",0,0,0,0,0,0,0,0,0,0,0,0
"7277","328482",0,0,0,0,0,0,0,0,0,0,0,0
"7278","100042479",0,0,0,0,0,0,0,0,0,0,0,0
"7279","100043197",0,0,0,0,0,0,0,0,0,0,0,0
"7280","100038850",0,0,0,0,0,0,0,0,0,0,0,0
"7281","667542",0,0,0,0,0,0,0,0,0,0,0,0
"7282","667547",0,0,0,0,0,0,0,0,0,0,0,0
