Gene_ID,IL.1_1,IL.1_2,IL.1_3,LPS_1,LPS_2,LPS_3,PAM_1,PAM_2,PAM_3,Con_1,Con_2,Con_3
18220,6.855814857,6.879953739,7.019980079,6.988143816,7.011379467,7.000007472,6.673341398,6.606936666,6.568408736,7.057337345,6.72590833,5.70728761
17872,5.766961366,5.633697288,5.799546842,6.360674358,6.487461146,6.522910006,6.180775557,5.642260668,5.657790827,5.838682441,5.538130577,5.267928267
69217,1.483965268,1.638832958,1.155056408,1.335843828,1.576983816,1.630265624,0.782677889,0.999825626,0.895602317,0.372032404,1.604688451,1.754960696
12036,5.123648733,5.296536155,5.450016151,5.241821699,5.504063819,5.193790362,5.360433189,5.136098969,4.988058418,5.287733384,5.451047538,5.15107707
56636,3.354702811,3.441102421,3.569859778,2.983466376,2.696949118,2.264415922,3.671158462,4.324798795,3.284736784,4.095467453,4.682684661,5.015841864
12348,1.802125359,2.250672879,1.964455427,1.992598408,1.545288491,1.555985672,2.295152788,1.927428516,1.497802927,1.65674643,1.036710161,2.187799074
56632,3.354702811,3.419801262,3.199078829,3.018435041,2.807959672,3.515138974,2.5382755,1.429539602,1.584648843,3.504490856,1.966185939,1.866984317
19899,6.892378968,7.437866841,7.406391468,7.303769792,7.055641342,7.168389468,7.488167059,7.21201633,7.962624645,6.940129052,7.690417072,8.174362232
54200,0.502659065,1.339400035,1.121778541,1.159093575,1.834681905,1.394863446,1.872113129,1.789454447,1.452337439,0.848910118,-0.092235674,0.461191376
19158,6.287841634,6.461378132,6.251958656,6.731823156,6.763635824,6.771549706,6.535722748,6.624290195,6.437447575,6.540009337,6.33957624,6.274452773
101612,6.838518438,6.927265972,6.719879751,7.009484753,7.041511147,7.002922857,6.833566347,6.574744398,6.779870292,7.218253133,7.065406525,6.546725316
68137,6.238989063,6.401966336,6.501172418,6.300681476,6.243895858,6.401787569,6.327418022,5.748485499,6.001469044,6.53344456,5.869567168,5.419538493
70209,0.838712328,0.606243562,0.647818153,0.160198178,0.638942563,1.276495097,1.27101191,0.459740116,-0.022885317,-1.154464114,0.748792136,0.362708462
13732,6.597228878,6.826322893,6.8857949,6.90940717,6.695784419,6.62256591,6.927725909,7.107012183,7.46829999,6.693934618,7.197741998,7.803427803
211548,5.645221578,5.589866274,5.573610796,5.820584073,5.819373755,6.060463181,5.523629932,5.354899764,5.476629025,5.91541572,5.518795474,5.684533884
27414,3.881902891,3.801024452,3.966496633,3.887258379,3.780865327,3.985023397,3.922603378,3.944019445,3.784051113,3.75074961,3.980429033,4.072069677
78935,5.422239099,5.2828369,5.384884117,5.510997232,5.447317008,5.273212428,5.490656365,5.449564402,5.447959624,5.309413703,5.518795474,5.734619026
20210,4.973277069,4.907677432,4.437991826,7.171661686,7.059853553,6.994744888,6.694731979,6.792656117,7.158142744,2.529162711,3.020378297,4.048502749
246694,5.171189207,4.950394381,4.872454548,4.974354673,4.953738111,4.826125783,4.869471242,4.637887257,4.643282712,5.324702569,4.877428663,4.08756977
14884,7.105375094,7.284768852,7.222900234,7.24592837,7.264712778,7.212881476,7.351600113,7.448725968,7.47186443,7.509349002,7.558397287,7.774391062
16828,9.856243798,9.828612603,9.847821764,10.05116006,9.992852698,9.90116126,9.988551586,10.00210703,10.05109917,10.03958552,10.17953043,10.57498068
22088,6.453437334,6.616098744,6.493875232,6.62242574,6.628370281,6.509852229,6.633617785,6.817718746,6.902211981,6.529491306,6.686594578,7.096135335
54122,2.251415551,2.344094793,1.983106022,2.307350152,2.140687638,1.746151053,2.122232176,1.953507734,1.705838639,1.65674643,2.463541927,1.675133955
101685,4.769332486,4.675770345,4.771463098,5.108203464,4.932455424,5.273212428,4.799393922,5.020579344,4.352915178,4.785124774,4.248012969,4.032574835
67893,1.278302526,1.756786823,2.356527401,0.59026252,0.141923321,-0.291294964,1.228978169,0.948879916,1.405392385,2.116353059,2.526852877,2.158743645
243983,6.291757515,6.45789901,6.466798597,6.675424911,6.546687553,6.257888668,6.616398323,6.872566734,6.933570828,6.386741819,6.525432992,7.139537725
108961,1.734683916,1.663207867,2.205882471,2.901542998,2.607699667,2.397984163,1.728656485,0.999825626,1.584648843,3.039611609,1.770811875,1.500867142
78286,3.46285441,3.253171058,3.125437135,3.04411631,2.622963285,2.803136234,3.1469946,1.979123884,3.030067717,2.707704402,2.807422309,2.271611142
53415,2.7945597,3.073871217,3.011955748,2.416248264,2.821254114,2.916322547,3.327135587,2.96866054,3.42078426,2.744548979,2.430813148,3.460189616
71974,7.311329938,7.31873115,7.156669776,7.21328719,7.187251455,7.226913732,7.32441158,7.347258063,7.41226551,7.432398632,7.35428734,7.788093359
140919,3.530698705,3.046336127,3.183035788,2.077954261,2.544977161,1.853416062,2.992261022,2.77751488,3.090672248,3.321505934,3.387428027,3.690800727
100040608,2.314365446,1.967191514,2.037653379,1.805057528,0.911759849,1.245320749,1.698170342,2.234430789,2.469914078,1.357038045,2.178216035,2.732363106
14453,6.914134785,6.924117616,6.951194495,6.68701817,6.660160948,6.517211765,6.948111073,7.049232109,7.3493231,7.16997337,7.264271244,7.796960034
75744,9.909538252,9.934651455,9.847662753,9.550308839,9.412702129,9.317712952,9.817172126,9.81619294,10.07426366,10.18594506,10.23019057,10.4937822
100503036,1.075185987,0.999887973,1.579480788,0.88369175,0.8087379,0.929525351,0.947267505,0.784268295,1.853051402,1.15290416,2.138229922,2.934455935
233276,5.130224511,5.060014805,5.051008452,4.851257521,4.773978273,4.658759821,4.827834609,4.905056183,4.597027699,5.25937122,5.127672493,5.132516709
20430,8.081627816,7.938016326,8.006410207,8.252590308,8.383454933,8.141449055,7.939655733,7.853726861,7.548133312,8.131666196,7.739684304,7.097092883
93790,5.883121456,5.822735877,5.710015433,5.938247162,5.780766174,5.770030893,5.941476554,5.954608328,5.965511384,5.917433993,6.014659859,6.078940026
320845,1.399386899,1.779262972,1.603787608,1.657576388,1.886194331,2.082350297,1.78776164,1.789454447,1.853051402,1.871848175,1.822191288,2.244211243
233280,2.025499078,1.865821489,2.037653379,1.542164352,1.338933394,1.581172994,1.311855565,2.276359614,2.492550636,1.258578581,1.966185939,2.158743645
15204,4.923668367,4.76575229,4.834443675,5.026819289,5.033007746,5.271279246,4.679669269,4.878077866,4.707581429,4.776255266,4.743916597,4.529045037
11982,5.413280314,5.401684882,5.239267296,5.494015712,5.305524047,5.309459115,4.96539422,5.305131386,5.061813186,5.240148531,5.422199452,4.9913303
22215,5.328139457,5.228743707,5.370789248,5.254710631,5.174396504,5.259625436,5.499523266,5.481282164,5.21939324,5.146892207,5.601996646,5.551141139
330544,1.213723053,1.886673325,1.424355516,1.657576388,1.576983816,1.245320749,1.698170342,1.927428516,1.705838639,1.308648094,1.87180365,1.754960696
52480,0.750411825,0.555059047,1.155056408,0.280315732,-0.038429358,0.624948325,0.458201184,1.04903349,0.594488125,-0.198089977,0.748792136,1.9024725
22652,2.080861332,2.098114047,2.252750208,2.278790971,2.18249604,2.064600397,2.167443897,2.004293123,1.306654998,2.570791768,2.054770981,0.942399468
27412,4.577364155,4.530967094,4.504052527,4.089898311,4.102766982,4.063080519,4.386538592,3.396995528,3.669517341,4.367604482,3.934472937,3.065469568
50794,6.428755496,6.462246604,6.559035231,6.490100788,6.462224212,6.340416992,6.779078939,6.635408733,5.888658491,6.014908746,6.092577773,4.962196977
233315,6.366994913,6.072934699,6.32139306,6.845727571,6.769648782,6.534239409,6.349655113,6.106155983,5.9614602,6.99754022,6.000789877,5.794875144
67973,7.296302674,7.409330264,7.251066864,7.475217961,7.554659517,7.453092891,7.483705385,7.430272663,7.90208819,7.390149087,7.763701037,8.173000623
73724,4.23498955,4.785316863,4.741651764,4.252941106,4.479158898,4.528861128,4.751947547,5.045041653,5.035077052,4.257195063,4.931070569,5.308177638
66647,5.879222935,5.893982234,5.881361808,6.044914897,5.780766174,5.884477776,6.255959169,6.03007526,6.252539188,5.734928766,6.420987176,6.460064348
21872,5.436458437,5.140347748,5.318509024,5.060764861,5.116260137,5.205986001,5.043257817,5.180939737,4.653363272,5.230440278,4.65461335,4.08756977
272396,3.693472643,3.212457757,3.447608807,3.249395531,3.338394546,3.399541993,3.053753316,3.956968882,3.55588847,3.097724277,3.761015465,3.96704418
68634,5.348961011,5.336870297,5.565898758,5.263847018,5.194969332,5.421776515,5.729841802,5.59126385,5.943087763,5.395914823,5.844935758,6.71210204
68981,7.222832548,7.390747857,7.250585862,7.429668448,7.476464065,7.372880639,7.448079028,7.514255195,7.899443696,7.34062084,7.800194425,8.387381893
109815,4.159851144,4.388384757,4.048475788,4.162041028,4.192463409,4.195381792,4.433562922,4.567864009,4.935330513,4.250806265,5.010740445,5.790146192
269941,4.348372939,4.351361033,4.299763117,4.260263791,4.338304719,4.57347294,4.400807526,4.797580933,4.327958134,4.198651071,4.640370176,4.49457793
233328,4.880116807,4.754452245,4.784812707,4.435440123,4.474959147,4.619788384,4.136660218,4.032315601,4.051308787,4.80270186,4.339017715,3.798328438
117589,3.699380804,3.516621407,3.647909398,3.517284754,3.68231084,3.980297585,3.935729335,3.257420117,3.348170934,3.598058872,3.16668976,3.228149172
72635,5.229514186,5.10519525,5.181896504,5.296267068,5.338259803,4.90554425,5.225318629,4.947847655,4.976060362,5.009841646,5.2310891,5.201810624
75099,2.679714472,2.847973042,2.76491613,2.158540956,2.375091079,2.383739438,2.572292979,2.029030778,2.108870356,2.780475977,2.054770981,2.098816074
17258,4.586956851,4.42448207,4.494334208,4.839083531,4.370313143,4.564028715,4.323021851,4.609464548,3.964910167,4.52413744,4.035889064,3.296435861
67867,4.518428644,4.779754006,4.56412675,4.520230086,4.552735979,4.403853871,4.636106893,4.793977087,4.570674859,4.832955692,5.005193365,4.897713993
67009,3.347196074,3.601055733,3.551232476,3.342028678,3.392835677,3.65217902,4.060811132,3.897758572,3.669517341,3.795331212,4.035889064,3.798328438
16001,6.503258891,6.415481657,6.305735015,6.27560662,6.435457689,6.645880816,5.973651287,6.241964796,6.257504106,6.220148448,6.278806303,6.317812517
66412,2.528623763,2.950561139,2.652897135,1.76443572,2.319963172,2.714857027,3.213172359,2.748017288,2.04904146,0.779592204,2.905967988,2.917209933
11819,7.776752421,7.739548438,7.753927156,6.355555494,6.444077126,6.496675186,7.029186014,6.858833391,6.929428822,8.063129764,7.868997226,7.357387827
434198,3.02843897,3.187466618,2.888780021,1.743687686,1.808219128,1.245320749,2.253826641,1.927428516,2.194204119,2.707704402,2.755504593,2.350820398
100042880,1.563858601,1.865821489,1.121778541,0.680360986,1.053688302,1.555985672,1.698170342,1.900869178,1.584648843,1.038873175,1.276617441,1.793276577
